seed,economy,legitimacy,military,treasury,loyalty_pct,exit_pct,voice_pct,rebellion_pct,leader_power,detected,outcome_class
1000,0.2043,0.6726,0.0153,0.0,41.1,30.78,12.96,15.16,0.4045,175,mixed
1001,0.1993,0.3527,0.0,0.0,39.48,30.54,14.3,15.68,0.2123,136,mixed
1002,0.2319,0.2736,0.0185,0.0,40.64,29.62,16.48,13.26,0.1642,173,mixed
1003,0.0,0.4814,0.0655,0.0,36.24,41.26,8.76,13.74,0.2887,182,mixed
1004,0.0,0.3571,0.0,0.0,34.96,33.84,17.26,13.94,0.2122,133,mixed
1005,0.0186,0.548,0.0,0.0,38.48,34.48,14.16,12.88,0.3271,202,mixed
1006,0.21,0.5003,0.1829,0.0,40.78,29.62,13.38,16.22,0.2988,197,mixed
1007,0.4154,0.2853,0.1972,0.0,40.22,26.86,19.66,13.26,0.1706,110,mixed
1008,0.32,0.6435,0.1529,0.0,38.14,32.84,13.7,15.32,0.3845,139,equilibrium
1009,0.0,0.2418,0.0,0.0,30.42,38.96,14.0,16.62,0.1472,168,collapse
1010,0.1374,0.4293,0.1582,0.0,35.8,33.84,13.14,17.22,0.2584,153,mixed
1011,0.0055,0.5451,0.0,0.0,36.32,35.4,15.9,12.38,0.327,188,mixed
1012,0.2486,0.0875,0.0516,0.0,41.28,27.18,16.22,15.32,0.0553,155,mixed
1013,0.2943,0.7186,0.0,0.0,48.54,28.62,13.6,9.24,0.4263,167,mixed
1014,0.1782,0.4761,0.0,0.0,38.58,31.66,13.42,16.34,0.2866,128,mixed
1015,0.3067,0.2422,0.0,0.0,40.16,21.92,21.96,15.96,0.1463,187,mixed
1016,0.1768,0.3411,0.1629,0.0,37.3,32.08,15.22,15.4,0.204,178,mixed
1017,0.0755,0.6838,0.0297,0.0,41.56,29.2,14.12,15.12,0.4107,177,mixed
1018,0.0,0.6005,0.0,0.0,35.3,36.6,12.38,15.72,0.3607,169,mixed
1019,0.1701,0.6022,0.0,0.0,35.94,31.5,15.76,16.8,0.3634,139,mixed
