step,loyalty,exit,voice,rebellion,economy,legitimacy,military,treasury,shock
1,73,20,4,3,0.5032,0.3638,0.4926,0.4602,crisis
2,60,28,7,5,0.5034,0.3745,0.4845,0.4298,
3,72,13,9,6,0.5079,0.3874,0.4789,0.3892,
4,70,8,14,8,0.5132,0.2496,0.4746,0.3488,crisis
5,64,11,13,12,0.5169,0.2589,0.4704,0.3126,
6,64,11,17,8,0.5211,0.2702,0.4658,0.2764,
7,65,14,13,8,0.5247,0.1313,0.4606,0.2402,crisis
8,64,15,10,11,0.5275,0.1407,0.3055,0.2048,war
9,59,21,13,7,0.5291,0.151,0.299,0.1736,
10,39,22,26,13,0.5286,0.1562,0.294,0.1546,
11,36,26,29,9,0.5276,0.1627,0.2879,0.1382,
12,41,25,22,12,0.5266,0.1683,0.282,0.1186,
13,36,23,24,17,0.5251,0.1711,0.2773,0.1016,
14,34,27,28,11,0.5234,0.1763,0.1213,0.0866,war
15,27,30,35,8,0.521,0.182,0.1148,0.0764,
16,38,31,22,9,0.5188,0.1882,0.1076,0.0598,
17,23,31,29,17,0.5147,0.1889,0.0,0.0522,war
18,36,24,31,9,0.5141,0.1956,0.0,0.0354,war
19,35,27,26,12,0.5123,0.2004,0.0,0.0198,
20,31,26,31,12,0.5106,0.2049,0.0,0.0064,
21,32,26,30,12,0.5089,0.2095,0.0,0.0,
22,42,26,22,10,0.508,0.2161,0.0,0.0,
23,31,31,26,12,0.505,0.2201,0.0,0.0,
24,34,25,29,12,0.5036,0.225,0.0,0.0,
25,32,26,29,13,0.5018,0.2291,0.0,0.0,
26,42,24,26,8,0.5017,0.2369,0.0,0.0,
27,41,23,26,10,0.5015,0.2437,0.0,0.0,
28,34,24,28,14,0.5001,0.2477,0.0,0.0,
29,46,20,21,13,0.5004,0.2538,0.0,0.0,
30,51,23,20,6,0.5013,0.2636,0.0,0.0,
31,33,30,25,12,0.4987,0.2679,0.0,0.0,
32,34,27,23,16,0.4962,0.2706,0.0,0.0,
33,33,32,20,15,0.4926,0.2732,0.0,0.0,
34,35,30,24,11,0.4902,0.2782,0.0,0.0,
35,23,23,35,19,0.4878,0.2787,0.0,0.0,
36,33,28,22,17,0.4849,0.2807,0.0,0.0,
37,31,29,27,13,0.4822,0.2844,0.0,0.0,
38,29,20,29,22,0.4804,0.2843,0.0,0.0,
39,34,23,27,16,0.4789,0.2874,0.0,0.0,
40,32,23,26,19,0.4769,0.2888,0.0,0.0,
41,31,25,25,19,0.4744,0.2899,0.0,0.0,
42,40,27,20,13,0.4727,0.2947,0.0,0.0,
43,26,30,31,13,0.4695,0.2978,0.0,0.0,
44,35,17,29,19,0.4692,0.3001,0.0,0.0,
45,42,35,9,14,0.4654,0.3038,0.0,0.0,
46,29,30,17,24,0.4608,0.3017,0.0,0.0,
47,25,27,23,25,0.4565,0.149,0.0,0.0,crisis
48,25,30,25,20,0.3023,0.1485,0.0,0.0,famine
49,28,25,24,23,0.299,0.1473,0.0,0.0,
50,28,31,20,21,0.2945,0.1465,0.0,0.0,
