step,loyalty,exit,voice,rebellion,economy,legitimacy,military,treasury,shock
1,76,18,5,1,0.5041,0.3653,0.4927,0.458,
2,80,12,7,1,0.51,0.3816,0.4864,0.4124,
3,76,15,6,3,0.5146,0.3962,0.4799,0.3698,
4,70,20,5,5,0.5174,0.4087,0.4729,0.3318,
5,71,21,5,3,0.5202,0.4222,0.4655,0.2934,
6,69,16,7,8,0.5235,0.4335,0.4596,0.2552,
7,69,24,5,2,0.5256,0.447,0.4516,0.2186,
8,70,12,9,9,0.5298,0.4583,0.4466,0.179,
9,51,26,14,9,0.5295,0.4663,0.4397,0.1536,
10,42,43,9,6,0.5249,0.4732,0.4296,0.137,
11,47,30,11,12,0.523,0.4789,0.4224,0.1148,
12,58,23,12,7,0.5241,0.4889,0.4157,0.0846,
13,61,27,8,4,0.5248,0.5003,0.4076,0.0534,
14,50,25,9,16,0.5236,0.5048,0.4017,0.0284,
15,54,27,9,10,0.5231,0.5125,0.3946,0.0014,
16,56,27,13,4,0.3735,0.5234,0.3868,0.0,
17,48,29,13,10,0.3721,0.5303,0.3796,0.0,
18,55,26,8,11,0.3717,0.5377,0.3728,0.0,
19,50,33,9,8,0.3698,0.5454,0.3645,0.0,
20,50,35,10,5,0.3678,0.5544,0.3555,0.0,
